Food,CarbPer100g
Апельсин,8.1
апельсин,8.1
Orange,8.1
orange,8.1
Мандарин,7.7
мандарин,7.7
Mandarin,7.7
mandarin,7.7
Mandarine,7.7
mandarine,7.7
Белый хлеб,49.1
белый хлеб,49.1
Хлеб белый,49.1
хлеб белый,49.1
White bread,49.1
white bread,49.1
Weißbrot,49.1
weißbrot,49.1
Лаваш армянский,47.6
лаваш армянский,47.6
Армянский лаваш,47.6
армянский лаваш,47.6
Armenian pita,47.6
armenian pita,47.6
Armenische Pita,47.6
armenische Pita,47.6
Банан,21.8
банан,21.8
Banana,21.8
banana,21.8
Banane,21.8
banane,21.8
Яблоко Гольден,29.5
яблоко Гольден,29.5
Виноград,17.0
виноград,17.0
Черешня,11.5
черешня,11.5
Вишня,11.3
вишня,11.3
Cherry,11.3
cherry,11.3
Kirsche,11.3
kirsche,11.3
Абрикос,9.0
абрикос,9.0
Apricot,9.0
apricot,9.0
Aprikose,9.0
aprikose,9.0
Персик,11.3
персик,11.3
Peach,11.3
peach,11.3
Pfirsisch,11.3
pfirsisch,11.3
Слива,9.6
слива,9.6
Plum,9.6
plum,9.6
Pflaume,9.6
pflaume,9.6
Чернослив,57.5
чернослив,57.5
Prune,57.5
prune,57.5
Backpflaume,57.5
backpflaume,57.5
Морковь,6.9
морковь,6.9
Carrot,6.9
carrot,6.9
Karotte,6.9
karotte,6.9
Капуста белокочанная,4.7
капуста белокочанная,4.7
Белокочанная капуста,4.7
белокочанная капуста,4.7
Гречневая каша,25.0
гречневая каша,25.0
Каша гречневая,25.0
каша гречневая,25.0
Рис белый отварной,24.9
рис белый отварной,24.9
Белый рис отварной,24.9
белый рис отварной,24.9
Рис пропаренный отварной,27.7
рис пропаренный отварной,27.7
Пропаренный рис отварной,27.7
пропаренный рис отварной,27.7
Чечевица отварная,20.1
чечевица отварная,20.1
Картофельное пюре,14.7
картофельное пюре,14.7
Пюре картофельное,14.7
пюре картофельное,14.7
Картофель жареный,23.4
картофель жареный,23.4
Жареный картофель,23.4
жареный картофель,23.4
Макароны отварные,23.2
макароны отварные,23.2
Блины,26.0
блины,26.0
Сахар-песок,99.7
сахар-песок,99.7
Белый сахар,99.98
белый сахар,99.98
Сахар-рафинад,99.98
сахар-рафинад,99.98
Овсяная каша на молоке,14.2
овсяная каша на молоке,14.2
Каша овсяная на молоке,14.2
каша овсяная на молоке,14.2
